epoch,accuracy,loss,val_accuracy,val_loss
0,0.33627569675445557,2.0758137702941895,0.6280120611190796,1.596222996711731
1,0.6433467864990234,1.3648639917373657,0.7428463697433472,1.0089178085327148
2,0.7311484813690186,0.9845214486122131,0.7891566157341003,0.7799609303474426
3,0.7716217637062073,0.8322989344596863,0.8136295080184937,0.6774700880050659
4,0.7933139204978943,0.7378102540969849,0.829066276550293,0.616498589515686
5,0.8125645518302917,0.6775079965591431,0.8445029854774475,0.569974958896637
6,0.8295614719390869,0.6285533308982849,0.8512800931930542,0.540129542350769
7,0.8445863723754883,0.5848702192306519,0.8629518151283264,0.5113937258720398
8,0.8610197901725769,0.5404629707336426,0.8719879388809204,0.4927397072315216
9,0.8618649840354919,0.5256822109222412,0.8734939694404602,0.4822112023830414
10,0.8741666078567505,0.49587035179138184,0.8814005851745605,0.4691010117530823
11,0.8806460499763489,0.4686422049999237,0.8810241222381592,0.45912373065948486
12,0.887782871723175,0.4469439685344696,0.8817771077156067,0.45555537939071655
13,0.8967978358268738,0.4199463129043579,0.8825300931930542,0.44860440492630005
14,0.8997088670730591,0.4134446382522583,0.8862951993942261,0.4396628737449646
15,0.9051554203033447,0.40140917897224426,0.8855421543121338,0.4345631003379822
16,0.9082543253898621,0.3851274847984314,0.8938252925872803,0.4310286045074463
17,0.9175509214401245,0.3578788936138153,0.8957078456878662,0.4231783449649811
18,0.9199925065040588,0.3474757671356201,0.8926957845687866,0.4234718382358551
19,0.9244999289512634,0.333808958530426,0.8930723071098328,0.423202782869339
